symbol,entry_date,exit_date,entry_price,exit_price,quantity,direction,profit,profit_percent,trade_outcome,exit_reason
TSLA,2025-04-19,2025-04-22,231.39,241.41,10,short,-100.2,-4.33,loss,stop_loss
QQQ,2025-04-19,2025-04-21,386.82,375.47,10,long,-113.5,-2.93,loss,stop_loss
BAC,2025-04-19,2025-04-20,40.85,41.46,10,long,6.1,1.49,win,take_profit
BAC,2025-04-18,2025-04-19,40.29,37.11,10,short,31.8,7.89,win,take_profit
GOOGL,2025-04-18,2025-04-19,141.53,151.42,10,long,98.9,6.99,win,take_profit
TSLA,2025-04-18,2025-04-21,229.16,224.84,10,long,-43.2,-1.89,loss,stop_loss
META,2025-04-17,2025-04-19,322.18,344.58,10,long,224.0,6.95,win,take_profit
AAPL,2025-04-17,2025-04-20,180.76,191.54,10,long,107.8,5.96,win,take_profit
JPM,2025-04-17,2025-04-19,197.74,195.37,10,short,23.7,1.2,win,take_profit
AMD,2025-04-16,2025-04-19,117.05,119.66,10,short,-26.1,-2.23,loss,stop_loss
BAC,2025-04-16,2025-04-18,40.89,42.95,10,long,20.6,5.04,win,take_profit
META,2025-04-16,2025-04-19,333.05,351.47,10,long,184.2,5.53,win,take_profit
NVDA,2025-04-15,2025-04-17,456.96,462.81,10,long,58.5,1.28,win,take_profit
AMZN,2025-04-15,2025-04-18,136.81,145.43,10,long,86.2,6.3,win,take_profit
AMD,2025-04-15,2025-04-17,119.01,122.38,10,short,-33.7,-2.83,loss,stop_loss
JPM,2025-04-14,2025-04-17,197.51,215.07,10,long,175.6,8.89,win,take_profit
BAC,2025-04-14,2025-04-17,39.41,40.68,10,long,12.7,3.22,win,take_profit
AAPL,2025-04-14,2025-04-15,180.55,196.78,10,long,162.3,8.99,win,take_profit
BAC,2025-04-13,2025-04-15,40.37,38.72,10,long,-16.5,-4.09,loss,stop_loss
QQQ,2025-04-13,2025-04-15,381.48,414.63,10,long,331.5,8.69,win,take_profit
INTC,2025-04-13,2025-04-16,34.77,35.18,10,long,4.1,1.18,win,take_profit
AMZN,2025-04-12,2025-04-13,134.18,128.19,10,long,-59.9,-4.46,loss,stop_loss
SPY,2025-04-12,2025-04-14,461.99,507.08,10,long,450.9,9.76,win,take_profit
BAC,2025-04-12,2025-04-14,39.25,39.68,10,long,4.3,1.1,win,take_profit
BAC,2025-04-11,2025-04-14,40.05,38.52,10,long,-15.3,-3.82,loss,stop_loss
TSLA,2025-04-11,2025-04-14,226.49,221.36,10,long,-51.3,-2.27,loss,stop_loss
AAPL,2025-04-11,2025-04-13,179.5,194.05,10,long,145.5,8.11,win,take_profit
JPM,2025-04-10,2025-04-11,202.52,202.06,10,long,-4.6,-0.23,loss,stop_loss
AAPL,2025-04-10,2025-04-12,178.29,174.6,10,short,36.9,2.07,win,take_profit
META,2025-04-10,2025-04-12,332.69,339.19,10,short,-65.0,-1.95,loss,stop_loss
GOOGL,2025-04-09,2025-04-12,142.15,146.61,10,long,44.6,3.14,win,take_profit
TSLA,2025-04-09,2025-04-12,229.26,221.38,10,short,78.8,3.44,win,take_profit
META,2025-04-09,2025-04-12,323.13,294.37,10,short,287.6,8.9,win,take_profit
AAPL,2025-04-08,2025-04-09,179.88,189.65,10,long,97.7,5.43,win,take_profit
QQQ,2025-04-08,2025-04-09,379.15,382.83,10,short,-36.8,-0.97,loss,stop_loss
AMD,2025-04-08,2025-04-09,117.33,113.95,10,short,33.8,2.88,win,take_profit
PLTR,2025-04-07,2025-04-08,24.93,24.45,10,long,-4.8,-1.93,loss,stop_loss
QQQ,2025-04-07,2025-04-10,380.7,394.96,10,long,142.6,3.75,win,take_profit
NVDA,2025-04-07,2025-04-08,448.81,427.28,10,short,215.3,4.8,win,take_profit
QQQ,2025-04-06,2025-04-07,389.99,376.72,10,long,-132.7,-3.4,loss,stop_loss
TSLA,2025-04-06,2025-04-08,227.13,216.48,10,short,106.5,4.69,win,take_profit
MSFT,2025-04-06,2025-04-07,326.5,322.07,10,short,44.3,1.36,win,take_profit
GOOGL,2025-04-05,2025-04-06,136.62,138.3,10,long,16.8,1.23,win,take_profit
META,2025-04-05,2025-04-08,332.26,308.85,10,short,234.1,7.05,win,take_profit
MSFT,2025-04-05,2025-04-06,315.73,328.5,10,long,127.7,4.04,win,take_profit
INTC,2025-04-04,2025-04-05,35.24,32.04,10,short,32.0,9.08,win,take_profit
AMZN,2025-04-04,2025-04-05,135.98,123.09,10,short,128.9,9.48,win,take_profit
QQQ,2025-04-04,2025-04-07,386.68,404.96,10,long,182.8,4.73,win,take_profit
SPY,2025-04-03,2025-04-05,467.4,496.33,10,long,289.3,6.19,win,take_profit
INTC,2025-04-03,2025-04-06,34.82,35.53,10,long,7.1,2.04,win,take_profit
QQQ,2025-04-03,2025-04-05,384.36,399.14,10,long,147.8,3.85,win,take_profit
