trade_id,symbol,entry_price,current_price,position_size,entry_date,pnl,pnl_percent,strategy,stop_loss,take_profit,status,quantity,position_type
1001,AAPL,190.25,166.48,10,2023-07-02 09:30:45,,14.28,TrendFollowing,185.5,205.00,active,,
1002,MSFT,330.75,374.25,5,2023-07-03 10:15:22,,-11.62,BreakoutStrategy,325.4,345.80,active,,
1003,AMZN,128.6,302.86,15,2023-07-04 11:05:33,,-57.54,MeanReversion,126.2,134.50,active,,
1004,TSLA,260.8,233.33,8,2023-07-03 14:22:18,,11.77,SupportResistance,250.3,280.60,active,,
1005,NVDA,415.25,212.14,6,2023-07-05 09:45:30,,95.74,BreakoutStrategy,405.6,435.00,active,,
1006,GOOG,120.35,433.01,20,2023-07-04 13:10:15,,-72.21,TrendFollowing,118.5,125.40,active,,
1007,META,292.45,53.32,7,2023-07-02 15:30:22,,448.48,MeanReversion,286.2,305.80,active,,
1008,SPY,435.6,409.76,12,2023-07-05 10:05:40,,6.31,ETFMomentum,430.4,445.00,active,,
1009,QQQ,370.4,182.92,10,2023-07-03 11:45:28,,102.49,ETFMomentum,365.2,382.50,active,,
1010,JPM,145.8,252.76,15,2023-07-04 09:55:15,,-42.32,ValueTrading,141.5,152.30,active,,
AAPL,2023-07-25,192.75,377.24,-50,-225.00,,-48.91,196.50,185.0,Trend Reversal,,,
MSFT,2023-07-28,335.45,185.15,25,758.25,,81.18,325.00,380.0,Momentum Breakout,,,
NVDA,2023-07-27,920.45,157.34,15,483.00,,485.01,900.00,980.0,Momentum Breakout,,,
META,2023-07-26,448.35,107.16,20,338.00,,318.39,435.00,475.0,Momentum Breakout,,,
AMZN,2023-07-24,138.65,419.19,30,126.00,,-66.92,135.00,150.0,Support Bounce,,,
SPY,2023-07-28,452.35,185.15,40,256.00,,144.32,445.00,465.0,Market Trend,,,
XLE,2023-07-26,86.75,107.16,-75,-107.25,,-19.05,89.00,82.0,Sector Rotation,,,
QQQ,2023-07-25,385.45,377.24,35,245.05,,2.18,380.00,400.0,Market Trend,,,
XLF,2023-07-27,38.25,157.34,100,160.00,,-75.69,37.50,41.0,Sector Rotation,,,
TSLA,2023-07-26,245.75,107.16,-35,255.50,,129.33,250.00,230.0,Trend Reversal,,,
AAPL,2023-07-25,195.45,377.24,50,421.00,,-48.19,189.50,215.0,Momentum,,,
NVDA,2023-07-27,465.78,157.34,20,331.40,,196.03,450.00,510.0,Technical,,,
META,2023-07-28,325.64,185.15,30,-223.20,,75.88,310.00,350.0,Momentum,,,
TSLA,2023-07-26,256.8,107.16,40,-618.00,,139.64,235.00,280.0,Technical,,,
MSFT,2023-07-22,402.15,375.36,25,290.75,,7.14,390.00,425.0,Technical,,,
AMD,2023-07-29,112.45,181.6,100,615.00,,-38.08,105.00,125.0,Momentum,,,
SPY,2023-07-24,452.78,419.19,35,-159.60,,8.01,460.00,440.0,Technical,,,
QQQ,2023-07-30,387.65,307.17,30,166.50,,26.2,395.00,375.0,Technical,,,
AMZN,2023-07-23,135.78,291.85,75,335.25,,-53.48,130.00,150.0,Momentum,,,
JPM,2023-07-21,150.25,220.01,50,-172.50,,-31.71,145.00,165.0,Fundamental,,,
AAPL,long,182.45,392.28,25,2023-07-25,,-53.49,175.50,195.0,,,,
MSFT,long,335.2,392.28,15,2023-07-26,,-14.55,325.00,355.0,,,,
NVDA,long,425.65,392.28,10,2023-07-27,,8.51,410.00,450.0,,,,
AMZN,long,128.9,392.28,30,2023-07-28,,-67.14,124.50,140.0,,,,
META,long,290.35,392.28,20,2023-07-29,,-25.98,280.00,310.0,,,,
TSLA,short,245.8,372.95,15,2023-07-25,,-34.09,255.00,230.0,,,,
JPM,short,152.65,372.95,25,2023-07-26,,-59.07,158.00,145.0,,,,
BA,short,214.5,372.95,20,2023-07-27,,-42.49,225.00,200.0,,,,
XOM,long,104.35,392.28,40,2023-07-29,,-73.4,100.00,115.0,,,,
DIS,long,85.45,392.28,50,2023-07-30,,-78.22,82.00,92.0,,,,
AAPL,187.25,192.45,391.99,LONG,520.00,,-50.9,RSI_Breakout,,,,,
MSFT,385.10,389.75,312.25,LONG,232.50,,24.82,MACD_Cross,,,,,
NVDA,463.75,485.2,405.16,LONG,644.50,,19.76,ML_Prediction,,,,,
GOOGL,142.15,139.85,261.43,SHORT,172.50,,-46.51,BB_Reversal,,,,,
AMZN,164.55,169.3,295.88,LONG,285.00,,-42.78,Momentum_Swing,,,,,
META,325.80,331.45,72.96,LONG,226.00,,354.29,Volume_Breakout,,,,,
JPM,158.35,154.2,491.12,SHORT,332.00,,-68.6,Pattern_Recognition,,,,,
TSLA,243.55,238.7,390.04,SHORT,218.25,,-38.8,ML_Prediction,,,,,
AMD,112.45,118.9,239.03,LONG,774.00,,-50.26,RSI_Breakout,,,,,
BA,204.85,197.3,228.08,SHORT,453.00,,-13.5,MACD_Cross,,,,,
AAPL,long,185.25,392.28,150,2023-07-25,,-52.78,180.00,195.0,Momentum,,,
MSFT,long,338.1,392.28,100,2023-07-24,,-13.81,330.00,355.0,Breakout,,,
NVDA,long,445.68,392.28,75,2023-07-20,,13.61,430.00,475.0,Momentum,,,
TSLA,short,275.33,372.95,85,2023-07-26,,-26.18,285.00,255.0,Reversal,,,
META,long,310.55,392.28,120,2023-07-22,,-20.83,300.00,325.0,Trend Following,,,
AMZN,long,132.45,392.28,200,2023-07-23,,-66.24,128.00,140.0,Breakout,,,
GOOGL,long,127.85,392.28,180,2023-07-24,,-67.41,124.00,134.0,Moving Average,,,
SPY,long,452.3,392.28,50,2023-07-25,,15.3,445.00,465.0,ETF Strategy,,,
QQQ,long,375.5,392.28,60,2023-07-26,,-4.28,370.00,390.0,ETF Strategy,,,
AMD,short,115.8,372.95,125,2023-07-25,,-68.95,120.00,105.0,Reversal,,,
INTC,long,33.25,392.28,300,2023-07-24,,-91.52,32.00,36.0,Value,,,
DIS,long,87.5,392.28,175,2023-07-23,,-77.69,84.00,92.0,Recovery,,,
JPM,long,154.7,392.28,100,2023-07-22,,-60.56,150.00,162.0,Banking Sector,,,
XOM,short,108.4,372.95,150,2023-07-26,,-70.93,112.00,102.0,Energy Reversal,,,
NFLX,long,438.75,392.28,50,2023-07-25,,11.85,425.00,455.0,Momentum ,,,
,DIS,58.42,403.93,,2025-04-20 17:15:34,27986.31,591.42,RSI Divergence,55.82,63.98,,81.0,Long
,V,231.47,277.76,,2025-04-20 17:15:34,-3795.78,-16.67,Breakout,236.96,200.92,,82.0,Short
,GOOGL,179.4,145.01,,2025-04-20 17:15:47,412.68,23.72,Moving Average Crossover,187.19,156.39,,12.0,Short
,CRM,463.98,238.5,,2025-04-20 17:16:34,-2705.76,-48.6,Trend Following,444.74,503.04,,12.0,Long
,INTC,438.53,285.4,,2025-04-20 17:16:34,-5818.94,-34.92,Breakout,422.51,489.27,,38.0,Long
,PYPL,431.23,280.51,,2025-04-20 17:17:05,-4521.6,-34.95,MACD Crossover,414.96,482.06,,30.0,Long
,XOM,142.18,478.1,,2025-04-20 17:17:05,3359.2,236.26,Support/Resistance,137.43,152.0,,10.0,Long
,NFLX,265.51,59.55,,2025-04-20 17:17:05,8650.32,345.86,Trend Following,274.94,246.63,,42.0,Short
,WMT,290.18,439.31,,2025-04-20 17:17:40,-1491.3,-33.95,Mean Reversion,300.9,250.66,,10.0,Short
,JNJ,247.58,231.92,,2025-04-20 17:17:40,266.22,6.75,Support/Resistance,257.17,223.38,,17.0,Short
